"会社名","住所","電話番号","WebサイトURL","Google評価","レビュー数","都道府県","place_id","メールアドレス","メール取得元URL"
"正文社印刷株式会社","〒158-0083 東京都世田谷区奥沢７丁目１８−１","03-3703-2311","https://maps.google.com/?cid=10831970303160848236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.7","3","東京都","ChIJWcuhAx31GGARbI97uZnjUpY","",""
"平野印刷","〒151-0073 東京都渋谷区笹塚２丁目４−７ ウィンベル平野","03-3376-6271","https://maps.google.com/?cid=14624456614312095208&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","東京都","ChIJGc9AERjzGGAR6C0vmc6B9Mo","",""
"東京速水印刷㈱","〒164-0013 東京都中野区弥生町１丁目２９−１１","03-3372-6116","http://www.t-hayami.co.jp/","5","3","東京都","ChIJSyoZn9nyGGAR2sTNKVP07oE","",""
"有限会社 富士印刷社","〒167-0031 東京都杉並区本天沼２丁目４４−１０ ホワイトプラザ東名","03-3396-2616","http://suginami-fujicorporation.com/","5","3","東京都","ChIJk3WQ9evtGGARg3ecYew1wEo","",""
"サミット印刷株式会社","〒105-0012 東京都港区芝大門２丁目１０−１８ サミット印刷","03-5472-3310","https://www.summit-minatoku.com/","4","3","東京都","ChIJw7JhjceLGGARmhJSEllrXU4","",""
"（公社）日本印刷技術協会（JAGAT）","〒166-0012 東京都杉並区和田１丁目２９−１１","03-3384-3111","https://maps.google.com/?cid=3136859044079996035&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.8","18","東京都","ChIJTaYITe_yGGARgwzcSK5ciCs","",""
"福山印刷株式会社 東京支店","〒151-0073 東京都渋谷区笹塚２丁目７−１１ 日神ビル 東棟","0884-72-1679","https://www.fuku-print.jp/","","0","東京都","ChIJNVFzOhjzGGARC7CAVufHD7k","",""
"株式会社ホープン","〒157-0062 東京都世田谷区南烏山６丁目２４−１３","03-3309-0230","https://www.hopen.co.jp/","2.2","10","東京都","ChIJYepEU5LxGGARJAAawifpD2s","",""
"森川印刷","〒166-0013 東京都杉並区堀ノ内２丁目２５−５ レジェンド杉並ガーデン 107","03-3312-3290","https://maps.google.com/?cid=9459076947757766179&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3","1","東京都","ChIJpdcH5PbyGGARIxYwHl5kRYM","",""
"東京大和印刷（株）","〒166-0013 東京都杉並区堀ノ内１丁目１２−７","03-3313-2471","https://maps.google.com/?cid=17428430927803340698&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","東京都","ChIJPfPPsFfyGGARmlcmzJY53vE","",""
"（株）リョーワ印刷","〒164-0014 東京都中野区南台３丁目４４−７","03-6382-4667","https://info417662.wixsite.com/website","","0","東京都","ChIJo5b5uB7zGGARnYxq3-Rl264","info@ryowa.info","https://info417662.wixsite.com/website"
"株式会社プリントワークス","〒162-0801 東京都新宿区山吹町345−２","03-5206-2686","https://printworks.jp/","4.8","12","東京都","ChIJ6zjwrVONGGARymq5BGNJJ7M","",""
"㈱平版印刷","〒141-0031 東京都品川区西五反田７丁目２２−１７ TOCビル 3F","03-3494-6234","http://www.heihan.co.jp/","3","2","東京都","ChIJubm-4fuKGGARhfR-9ATqhZU","",""
"平田印刷","〒152-0004 東京都目黒区鷹番３丁目２０−２","03-3714-0641","https://www.hiratainsatsu.com/","","0","東京都","ChIJITaczsj0GGARg7Wf-5qCyAk","info@hiratainsatsu.com","https://www.hiratainsatsu.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B"
"東杏印刷株式会社","〒167-0023 東京都杉並区上井草２丁目４４−１０ 第二ＫＩビル 2F","03-6913-9500","https://www.tokyop.co.jp/","3.3","4","東京都","ChIJxaxzdLvuGGAR3AbEJRh8CWk","",""
"（有）内外印刷","〒182-0006 東京都調布市西つつじケ丘３丁目１２−２","042-482-2603","https://chofu.com/naigaiinsatsu","3","1","東京都","ChIJt4YFBrPxGGARDD-V7s0YfdM","",""
"タナカ印刷㈱ 本社","〒135-0023 東京都江東区平野２丁目２−３９ タナカ印刷本社ビル","03-6240-3231","http://www.tanaka-p.co.jp/","3","2","東京都","ChIJeUcu9uGLGGARYG8H40LRy4s","example@tanaka-p.co.jp","http://www.tanaka-p.co.jp/inquiry"
"宝堂印刷（株）","〒165-0033 東京都中野区若宮１丁目２８−１４","03-3338-3035","https://maps.google.com/?cid=4635248284729201909&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.5","6","東京都","ChIJHQEenXjtGGAR9dQFocG1U0A","",""
"株式会社グラビティ","〒167-0032 東京都杉並区天沼２丁目４−１","03-5347-2963","https://www.glavity.com/","4.5","2","東京都","ChIJ0amo6_btGGARF1MPvrEF-tc","xxxx@xxxxxxx.jp; flyer@glavity.com","https://www.glavity.com/contact"
"株式会社 文伸","〒181-0012 東京都三鷹市上連雀１丁目１２−１７","0422-60-2211","https://www.bun-shin.co.jp/","4.1","14","東京都","ChIJq6qIiqTvGGARCSIT9T-Fd1k","office@bun-shin.co.jp","https://www.bun-shin.co.jp/contact"
"繁岡美術","〒156-0051 東京都世田谷区宮坂３丁目５−７","03-3429-2083","http://shigeoka-bijyutsu.com/","4.5","2","東京都","ChIJ2_KH3pfzGGARK2PQI5ukTd8","info@shigeoka-bijyutsu.com","http://shigeoka-bijyutsu.com/"
"ミモリ印刷","〒160-0023 東京都新宿区西新宿４丁目２５−８","03-5351-0685","https://mimoriinsatsu.business.gogo.jp/","","0","東京都","ChIJ2aBN1-TzGGARETgImNfhaKk","mimoriinsatsu@view.ocn.ne.jp","https://mimoriinsatsu.business.gogo.jp/"
"長沢印刷所","日本、〒164-0014 東京都中野区南台４丁目１９","","https://maps.google.com/?cid=10842429971826159236&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","東京都","ChIJu9bjch7zGGARhC6_HJ0MeJY","",""
"㈱小西印刷所 東京支店","〒105-0014 東京都港区芝２丁目１−２８ 芝アネックスビル","03-6685-4550","https://www.konishi-p.co.jp/company.html","4","1","東京都","ChIJm8TL1eaLGGARY7t-NK2JGQ0","privacy@konishi-p.co.jp","https://www.konishi-p.co.jp/contact"
"新嶺印刷㈱","〒145-0075 東京都大田区西嶺町２−６","03-3750-3523","https://maps.google.com/?cid=2611277329201548315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.5","2","東京都","ChIJYStyC1r1GGARG8wWUeUePSQ","",""
"（有）誠文社印刷所","〒164-0003 東京都中野区東中野１丁目１５−１３","03-3367-6339","https://maps.google.com/?cid=11657722645974143455&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4","1","東京都","ChIJqVVLg87yGGAR39FQM_uMyKE","",""
"（有）オーロラ印刷","〒188-0011 東京都西東京市田無町６丁目４−１３","042-452-6331","http://www.aurora-print.com/","2","4","東京都","ChIJfQkiT1fvGGARl5XWpxsBnHo","print-d@aurora-print.com","http://www.aurora-print.com/"
"㈱佐藤印刷所","〒220-0042 神奈川県横浜市西区戸部町１丁目１３","045-231-2434","https://www.satoprinting.co.jp/","4","1","東京都","ChIJ7ypKA2RcGGARmna1_zbko6A","",""
"有限会社岩永印刷所","〒169-0072 東京都新宿区大久保２丁目５−２５","03-3209-3381","https://iwanaga-printers.com/","","0","東京都","ChIJF8jvCkaNGGARmwpNc4WtoDE","",""
"㈱亨有堂印刷所","〒162-0067 東京都新宿区富久町３８−１５ 享有堂印刷所本社棟","03-3351-8177","http://www.kyoyudo.co.jp/","5","2","東京都","ChIJY79y-eaMGGARYnylGtdrlaY","",""
"トキワ印刷社","〒105-0014 東京都港区芝３丁目２７−１０ 伊藤ビル","03-6913-8900","https://maps.google.com/?cid=6274185631270326030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","東京都","ChIJVVX5QbqLGGARDk-67pZiElc","",""
"印刷広場","〒112-0002 東京都文京区小石川２丁目２４−７ 名古屋ビル １F","03-3830-0852","https://www.insatsu-hiroba.com/","","0","東京都","ChIJqf4tHBuNGGARq0AQDDWoZxY","",""
"森印刷所","〒158-0083 東京都世田谷区奥沢２丁目２−２８","03-3723-3215","https://www.mori-printing.biz/","5","1","東京都","ChIJY8Hc2yT1GGARNBYnX_0A20Q","ist@moriprinting.biz","https://www.mori-printing.biz/"
"上野印刷所","〒167-0031 東京都杉並区本天沼２丁目１−１６","03-3390-5878","https://maps.google.com/?cid=14872121378085487650&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","東京都","ChIJWXhKlvLtGGARIkRH9ZhjZM4","",""
"名取印刷工業（有）","〒162-0814 東京都新宿区新小川町７−１１ 名取第2ビル","03-3260-4767","https://natorishoji.com/2021/10/01/natoriprinting/","5","1","東京都","ChIJtbGDiVGMGGARLSy0KPxAmck","",""
"創造印刷","〒182-0005 東京都調布市東つつじケ丘２丁目２７−１","03-5314-7081","http://souzou-print.jp/","5","2","東京都","ChIJQ0e0OrDxGGARRjai6kicjJc","",""
"alwaysプリントバリュー","〒211-0041 神奈川県川崎市中原区下小田中６丁目３３−６ B棟","044-789-8770","https://www.print-value.com/","5","6","東京都","ChIJWXXJzsv1GGARM9SsQoaEd2E","",""
"フォトグラフ三光堂","〒168-0063 東京都杉並区和泉３丁目６０−１３ スタジオ三光堂","03-3323-8429","https://www.sankoudo.ne.jp/sankodo-teikyu.html","4.8","10","東京都","ChIJzS8tplfyGGARbo0h4h7-kWY","info@sankoudo.ne.jp","https://www.sankoudo.ne.jp/sankodo-teikyu.html"
"平岩文具店","〒168-0063 東京都杉並区和泉３丁目３０−４ セゾン和泉","03-3321-7140","https://maps.google.com/?cid=8625398386290851755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3.7","13","東京都","ChIJI9QwqFbyGGARq_8XDSKSs3c","",""
"ヒロセフォトショップ","〒155-0031 東京都世田谷区北沢２丁目６−８ 広瀬ビル1F","03-3466-6880","http://www.hirosephotoshop.com/","4.3","20","東京都","ChIJ8VbwPGrzGGARo2_JujZaISc","aiosl@hirosephotoshop.com","http://www.hirosephotoshop.com/"
"プリンティ","〒152-0013 東京都目黒区南３丁目１２−１８ JLBグランエクリュ大岡山 106号","03-5729-5911","https://www.printy.co.jp/","4.5","2","東京都","ChIJW9unB7iPGGARdCZ5tZBNpKw","",""
"みらい株式会社","〒169-0073 東京都新宿区百人町１丁目１５−１９ 6F","03-6279-1140","http://www.mirainihon.com/","4.9","24","東京都","ChIJ6aXhPy-NGGARSAT0FPd_IeQ","miraijapan2017@gmail.com","http://www.mirainihon.com/"
"オリジナルTシャツUP-T(アップティー)","〒150-0011 東京都渋谷区東３丁目２５−１０ 4F","0120-864-321","https://up-t.jp/","4.4","2230","東京都","ChIJ3SWFL6OMGGARxn0m79OCsVM","",""
"CORNER PRINTING SELF","〒181-0012 東京都三鷹市上連雀４丁目１−３ グレイス三鷹 102","","https://www.cornerprinting-mitaka.com/","4","12","東京都","ChIJZdts0s_vGGARPdWGgKLweUQ","self@cornerprinting.com","https://www.cornerprinting-mitaka.com/"
"アクセア 関内店","〒231-0007 神奈川県横浜市中区弁天通４丁目５９ 横浜 第一生命ビル １Ｆ","045-226-3807","https://www.accea.co.jp/map/kannai.html","3.6","53","神奈川県","ChIJWw4c__ZcGGARYPp2M-tbwP0","",""
"SEIBIDO （デザイン・印刷）","〒231-0062 神奈川県横浜市中区桜木町１丁目1−７ ヒューリックみなとみらい 10F","","https://www.seibi-do.co.jp/","5","11","神奈川県","ChIJdxwmd1ZXGGARKurGh6gC9Fw","",""
"MBE関内店 | 格安中古コピー機・当日作成スピード名刺・封筒等の印刷サービス","〒231-0033 神奈川県横浜市中区長者町５丁目48−１ Ok長者町ビル 2階","045-260-8895","https://www.mbe-yokohama.com/","4.6","9","神奈川県","ChIJ2fOE-fJcGGARtSMMj6FodFk","",""
"アクセア 横浜ランドマークタワー店","〒220-0012 神奈川県横浜市西区みなとみらい２丁目２−１ ランドマークプラザ ５Ｆ","045-228-2805","https://www.accea.co.jp/map/yokohamalm.html","4","12","神奈川県","ChIJe4iPDl1cGGARzRehmAuDMuQ","",""
"あっとめいし横浜関内店","〒231-0011 神奈川県横浜市中区太田町２丁目２１−２ 1F","045-650-3165","https://www.atmeishi.com/atmeishi/office/kannai/","1","1","神奈川県","ChIJSZypsvBcGGART3MWkJ6MWOg","kannai@atmeishi.com","https://www.atmeishi.com/atmeishi/office/kannai/"
"キンコーズ・横浜駅西口店","〒220-0004 神奈川県横浜市西区北幸１丁目１１−１１ 1F","045-322-3377","https://www.kinkos.co.jp/store/kanagawa/y001/?utm_source=google&utm_medium=my_business&utm_campaign=top","3.3","160","神奈川県","ChIJ30MPOQ5cGGARl-ZaYfRFSRE","",""
"キンコーズ・パシフィコ横浜店","〒220-0012 神奈川県横浜市西区みなとみらい１丁目１−１ パシフィコ横浜 展示ホール 内","045-222-7025","https://www.kinkos.co.jp/store/kanagawa/y004/?utm_source=google&utm_medium=my_business&utm_campaign=top","3.5","4","神奈川県","ChIJn6eBq0RcGGARK71MoNWw05A","",""
"株式会社クリエイト横浜","〒231-0023 神奈川県横浜市中区山下町２２２−１ 友井会館 1階","","https://create-yokohama.com/","5","2","神奈川県","ChIJDwELRPxdGGARDzLEjVg0Kn8","info@nissin-g.co.jp; info@create-yokohama.com","https://create-yokohama.com/company"
"アクセア 横浜駅西口店","〒220-0004 神奈川県横浜市西区北幸１丁目５−４ 四谷学院第2ビル 1F","045-548-3436","https://www.accea.co.jp/map/yokohamanishi.html","4.3","40","神奈川県","ChIJkX5FqF5dGGARZyMEOmkwfzA","",""
"あっとめいし横浜本店","〒221-0835 神奈川県横浜市神奈川区鶴屋町２丁目26−2 第4 安田ビル 1F","045-314-0980","http://www.atmeishi.com/atmeishi/office/nishiguchi/index.php#office","","0","神奈川県","ChIJzfkwLhBcGGARzWAEAp8giFE","yokohama@atmeishi.com","http://www.atmeishi.com/atmeishi/office/nishiguchi/index.php#office"
"キンコーズ・川崎駅前店","〒210-0007 神奈川県川崎市川崎区駅前本町１１−１ パシフィックマークス川崎 2F","044-223-3635","https://www.kinkos.co.jp/store/kanagawa/y003/?utm_source=google&utm_medium=my_business&utm_campaign=top","4.2","90","神奈川県","ChIJAQBAXphgGGARtuumu1ln-B8","",""
"㈱ヒライデ","〒231-0012 神奈川県横浜市中区相生町４丁目６９番地２","045-662-3900","http://hiraide3900.com/wp/","","0","神奈川県","ChIJ98FZ7vZcGGARYaZuyF1Fi_o","hiraide1@maple.ocn.ne.jp","http://hiraide3900.com/wp/"
"日本名刺印刷 横浜いずみ工場","〒245-0018 神奈川県横浜市泉区上飯田町１７７８−１","045-382-9808","https://www.printmaster.jp/","2.5","2","神奈川県","ChIJNzXUxwlXGGARLEwPTvePRMM","",""
"有限会社コルボプリント","〒231-0042 神奈川県横浜市中区福富町西通３−８","045-261-5068","https://www.corubo.net/","","0","神奈川県","ChIJa1uSEwddGGARnVza8OuIgEo","",""
"ポスターラボ横浜関内店","〒231-0017 神奈川県横浜市中区港町６丁目２７ 港町ビル 3F","045-319-4456","https://www.poster-labo.com/","","0","神奈川県","ChIJkThGTbNdGGARzvBfj7ZL8_4","",""
"印刷ハンコ卸売センター","〒224-0014 神奈川県横浜市都筑区牛久保東１丁目３２−３２−３３ サンヒルズセンター北A","045-595-1170","http://hanko.iinaa.net/","3.8","8","神奈川県","ChIJH6rK_Dj2GGARLhVK5SB6efU","",""
"はん・印刷の大谷川崎アゼリア店","〒210-0007 神奈川県川崎市川崎区駅前本町２６−２","044-246-0685","https://www.azalea.co.jp/shops/1044","3.3","21","神奈川県","ChIJyewAlZhgGGARfiFJ4iv4SaE","aaa@azalea.co.jp","https://www.azalea.co.jp/contact"
"マルニ印刷","〒232-0045 神奈川県横浜市南区東蒔田町１４−５","045-731-2810","http://www.i-maruni.net/","5","2","神奈川県","ChIJ4dpNd5tcGGARp_J-QZ9JQUs","",""
"名刺印刷｜アリエスコーポレーション㈱","〒231-0066 神奈川県横浜市中区日ノ出町１丁目７６−１ インペリアル横浜パークサイド インペリアル横浜2階","045-250-5440","https://maps.google.com/?cid=14909950365316035478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","神奈川県","ChIJO01WRIpcGGARljNeZ9zI6s4","",""
"化学印刷株式会社","〒232-0006 神奈川県横浜市南区南太田４丁目７−１１ 2階","045-741-2171","https://www.e-kagaku.jp/","4.9","16","神奈川県","ChIJ4xf_ooJbGGAREGdqb31fwkk","",""
"有隣堂 伊勢佐木町本店","〒231-8623 神奈川県横浜市中区伊勢佐木町１丁目４−１","045-261-1231","https://www.yurindo.co.jp/store/honten/?utm_source=gbp&utm_medium=shop-detail&utm_campaign=prof&utm_id=yhp","4","3102","神奈川県","ChIJRYGXdvRcGGAR3Q4IpualhOo","pri-info@yurindo.co.jp","https://www.yurindo.co.jp/inquiry"
"（有）松井印店","〒232-0014 神奈川県横浜市南区吉野町１丁目３","045-261-3366","http://www.matsui-inten.jp/","5","2","神奈川県","ChIJVYjox49cGGARajLzeNZGuy4","kiyoshi@matsui-inten.jp","http://www.matsui-inten.jp/"
"大賀堂印房","〒231-0053 神奈川県横浜市中区初音町３丁目４４","045-231-8314","https://taigadoinbo.com/index.html","5","3","神奈川県","ChIJX_AMRolcGGAR6mBzevRUyGY","taigado@dream.jp","https://taigadoinbo.com/index.html"
"看板・印刷工房グランド","〒232-0051 神奈川県横浜市南区井土ケ谷上町６−８","045-741-5187","https://grand-1.com/","5","118","神奈川県","ChIJmV7NdHdbGGARz63HWfyE4AQ","info@grand-1.com","https://grand-1.com/about"
"（有）関内印刷 本社","〒231-0023 神奈川県横浜市中区山下町９２−２","045-201-2266","https://maps.google.com/?cid=9270669840277800798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","5","1","神奈川県","ChIJ6zIwWvZcGGARXoevAxoJqIA","",""
"寿美術印刷株式会社 プリントマン","〒235-0004 神奈川県横浜市磯子区下町１−１９ パオハウス","045-352-8955","https://printman1.com/","4","1","神奈川県","ChIJP-n6rP1dGGARPrujDtkY22o","",""
"アクセア 新横浜店","〒222-0033 神奈川県横浜市港北区新横浜３丁目20−１６ ハリスコート 1階","045-620-7558","https://www.accea.co.jp/map/shinyokohama.html","4.6","10","神奈川県","ChIJB2pl8qFfGGARc38amH7c3bc","",""
"赤坂印刷㈱ 横浜営業所","〒231-0013 神奈川県横浜市中区住吉町１丁目４−３０３ プロスタイルウェルス関内住吉町","045-263-9742","https://maps.google.com/?cid=9277381863338610805&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","神奈川県","ChIJ4bgsmPBcGGARdRDzqabhv4A","",""
"（有）光正社印刷所","〒232-0033 神奈川県横浜市南区中村町１丁目２３−１","045-251-3503","https://www.koseisya.com/","4.5","2","神奈川県","ChIJR7FA4-tcGGARtcQ4iWQZF8E","info@koseisya.jp","https://www.koseisya.com/"
"プリンテク","〒220-0004 神奈川県横浜市西区北幸２丁目１０−３４ 第8NYビル 1F","045-320-6777","https://www.printec.info/","","0","神奈川県","ChIJx3opyA5cGGARpZsrvNoqP1c","printec@pop02.odn.ne.jp","https://www.printec.info/"
"プリントショップ文華堂","〒252-0804 神奈川県藤沢市湘南台１丁目１０−６","0466-42-5750","https://printshopbunkado.com/","4.1","8","神奈川県","ChIJGSDjfRNRGGARuCcyAjjtbek","psbunkado@yahoo.co.jp","https://printshopbunkado.com/"
"すまいるｓｈｏｐ","〒224-0042 神奈川県横浜市都筑区大熊町３０","045-470-0051","https://maps.google.com/?cid=6649476261870328688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","4.5","11","神奈川県","ChIJ0-qx_cVYGGARcFssA26vR1w","",""
"デザ印の広場 横浜鶴見店","〒230-0051 神奈川県横浜市鶴見区鶴見中央４丁目３２−２１ 旧はんこ広場鶴見店","045-502-7881","https://design-tsurumi.com/","1.6","7","神奈川県","ChIJR-wXoAheGGARvJeR0cUm4R4","hanko.tsurumi@gmail.com","https://design-tsurumi.com/contact"
"名刺ショップnet、ツバキの名刺","〒252-0243 神奈川県相模原市中央区上溝４５０５−１９ MKコーポ 1F","050-7508-5045","https://www.meishishop.net/","3","1","神奈川県","ChIJ-SDz9-oCGWARFqmpPMMs6H4","",""
"（株）ＳＴＳ印刷センター","〒245-0014 神奈川県横浜市泉区中田南３丁目７−５ りんどう中田","045-802-1579","https://stsinsatsu.com/","4.3","8","神奈川県","ChIJc4cQCJNQGGARVehJ1lYLTLI","",""
"アド・ワークス","〒232-0014 神奈川県横浜市南区吉野町２丁目４","045-242-8958","http://www.addworks.jp/","","0","神奈川県","ChIJzbfnkI9cGGARhMcBUzMRCIs","",""
"マミヤ印房","〒243-0303 神奈川県愛甲郡愛川町中津７８１−２","046-286-1977","http://www.hankowa.jp/mmy.html","3.4","11","神奈川県","ChIJK8P1Sy8CGWARbn8P8VVwYU8","hanko-mamiya@nifty.com","http://www.hankowa.jp/mmy.html"
"名刺47","〒226-0019 神奈川県横浜市緑区中山１丁目２３−５ サンハイツアキ １０１","050-7132-2525","https://www.meishi47.com/","","0","神奈川県","ChIJlRw-FQ9YGGARY7NMdTBenfM","",""
"荒川印刷㈱","〒231-0012 神奈川県横浜市中区相生町２丁目３５ 関内ＡＰプラザ","045-681-1288","https://maps.google.com/?cid=9226611875452377407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","","0","神奈川県","ChIJrVoXNPdcGGARP1m9tJ2CC4A","",""
"コジマ印刷株式会社","〒230-0011 神奈川県横浜市鶴見区上末吉４丁目８−１１ ８番地１１号","0120-168-385","https://www.kojima-p.net/","4","5","神奈川県","ChIJISIPEEleGGAR6Z6M5iRR3pM","",""
"野毛印刷社","〒232-0027 神奈川県横浜市南区新川町１丁目２","045-252-2511","http://www.noge.co.jp/","3.7","10","神奈川県","ChIJuzls0o9cGGARK9NvUAB24LY","",""
"㈱デザイン印刷長島","〒220-0045 神奈川県横浜市西区伊勢町２丁目９１ セントラル・ヴィレッジ","045-252-2881","https://dezanaga.biz/","","0","神奈川県","ChIJzZXvoGVcGGARnVxIiz0MxwQ","nagashima@dezanaga.com","https://dezanaga.biz/"
"さんこうどう","〒251-0052 神奈川県藤沢市藤沢 ４６２MEFULL藤沢7階","0466-27-2511","http://www.sankodo.net/","4","11","神奈川県","ChIJQZ4JZSxOGGARBBVkAZtKNyU","info@sankodo.ne.jp","http://www.sankodo.net/"
"㈱キャスメディア","〒230-0051 神奈川県横浜市鶴見区鶴見中央３丁目４−２５","045-504-5530","http://www.cas-m.co.jp/","5","1","神奈川県","ChIJE_ay_V1cGGARdNvcQtv2W2U","info@cas-m.co.jp","http://www.cas-m.co.jp/"
"三昇堂印刷（株）","〒232-0064 神奈川県横浜市南区別所１丁目５−１５ 横浜ローラー","045-741-4555","https://sansyodo-print.co.jp/","","0","神奈川県","ChIJFZNqqmJbGGARnNAkeImOSrY","",""
"ABC FACTORY","〒220-0005 神奈川県横浜市西区南幸2-12-6西区南幸２丁目１２ ストークビルみき305号","045-412-5055","http://www.abcprint.co.jp/","5","1","神奈川県","ChIJ-7AJQwxcGGARd8jF-dGL1W4","info@abcprint.co.jp","http://www.abcprint.co.jp/company"
"株式会社シュービ","〒224-0044 神奈川県横浜市都筑区川向町７８７−１","045-471-7707","https://www.shubi-pr.co.jp/","3.9","7","神奈川県","ChIJaU0Q9itfGGARvRuOwMKp6EM","",""
"ノップス株式会社 綱島店","〒223-0052 神奈川県横浜市港北区綱島東２丁目１９−３２ ハイツＺＡＭＡ Ｃ","045-540-7435","http://www.nops-print.co.jp/index.html","5","1","神奈川県","ChIJ7SgF0A1fGGARYPIFn49CaEU","",""
"長島デザイン","〒144-0056 東京都大田区西六郷４丁目１１−１ クレストフォルム東京リバーコースト","03-3735-1378","http://nagashima-design.com/","4","1","神奈川県","ChIJ79Sr741gGGARmN9Gp9-ThG0","saedon@c01.itscom.net","http://nagashima-design.com/contact"
"超特急製本SURUKA","〒235-0004 神奈川県横浜市磯子区下町１−１９ パオハウス","045-352-8955","https://suruka.jp/","","0","神奈川県","ChIJN9kxfFRdGGARdhArIzesU44","xxxx@xxxxxxx.jp","https://suruka.jp/contact"
"精美堂","〒254-0016 神奈川県平塚市東八幡４丁目６−５","0463-21-0094","https://www.ds-seibido.co.jp/","4.3","9","神奈川県","ChIJaQbAI86sGWAR6I_pEQbpBos","",""
"有限会社カワムラ印刷","〒251-0021 神奈川県藤沢市鵠沼神明４丁目１２−２３","0466-22-5431","http://www.kawamura-insatu.co.jp/","5","4","神奈川県","ChIJr3GLvN9RGGARbXKmE-mDFMY","info@kawamura-insatu.co.jp","http://www.kawamura-insatu.co.jp/contact"
"かさい印刷","〒234-0051 神奈川県横浜市港南区日野５丁目１５−６","045-842-8616","https://www.kasai-insatsu.com/","5","2","神奈川県","ChIJkfvBmjNbGGARCJLeLHJHPl4","kasai-p@ninus.ocn.ne.jp","https://www.kasai-insatsu.com/"
"有限会社デザインスペースマジック","〒225-0002 神奈川県横浜市青葉区美しが丘２丁目17−４１ 302号","045-875-0633","https://magic-design.org/","4.7","20","神奈川県","ChIJT90mA2X3GGARVpacwF1VHg8","",""
"松代印刷（株）","〒242-0006 神奈川県大和市南林間１丁目７−９ ３階","046-276-5151","https://www.matsushiro.co.jp/","3","3","神奈川県","ChIJeebL7EP_GGARYcpcsbZ5794","info@matsushiro.co.jp; example@matsushiro.co.jp","https://www.matsushiro.co.jp/"
"（株）東海コピーサービス","〒252-0816 神奈川県藤沢市遠藤７８９−１","0466-87-7825","http://www.tokai-copy.com/","4.7","6","神奈川県","ChIJS6W3INFTGGARRDXFnM2vw4g","info@tokai-copy.com","http://www.tokai-copy.com/"
"（有）金洋社印刷所","〒232-0013 神奈川県横浜市南区山王町２丁目２２","045-261-0057","http://kinyosha.net/","","0","神奈川県","ChIJr9cxmo9cGGARl9iwJoMkGyc","",""
"湘南グッド","〒251-0001 神奈川県藤沢市西富１丁目３−１６","0466-25-2151","http://www.shonan-good.co.jp/","5","3","神奈川県","ChIJi06zJ9NPGGARjkO9xTDkE30","",""
"（株）横浜プリント","〒232-0016 神奈川県横浜市南区宮元町１丁目２３ リブゼ横浜サウスアベニュ","045-712-2211","http://www.y-print.co.jp/","4","1","神奈川県","ChIJZ0SYT4NcGGARtl8tAxBwHRc","",""
"㈱高陽印刷所","〒232-0023 神奈川県横浜市南区白妙町３丁目３９ 高陽印刷所","045-251-4832","http://www.koyo-printing.com/","4.7","3","神奈川県","ChIJrbDlPJJcGGARqk0iRKK2pvI","",""
